STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,vehicle,Vehicles,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2017,,15.1,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2018,,15.7,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2019,,16.1,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2020,,6.0,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2021,,6.4,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2022,,11.5,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,CZ,Czechia,2023,,14.1,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2008,,8.2,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2009,,7.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2010,,8.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2011,,8.3,,b,break in time series,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2012,,8.7,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2013,,8.9,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2014,,9.0,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2015,,9.3,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2016,,9.5,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2017,,10.4,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2018,,10.9,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2019,,11.4,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2020,,3.9,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2021,,4.7,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2022,,9.2,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DE,Germany,2023,,10.5,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2008,,9.7,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2009,,10.2,,be,"break in time series, estimated",,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2010,,10.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2011,,11.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2012,,11.5,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2013,,11.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2014,,12.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2015,,12.0,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2016,,12.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2017,,12.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,DK,Denmark,2018,,13.1,,e,estimated,,
